"filename", "language", "Markdown", "YAML", "Dart", "C++", "Swift", "JSON", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\rober\flutter_projects\untitled4\README.md", "Markdown", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -17
"c:\Users\rober\flutter_projects\untitled4\analysis_options.yaml", "YAML", 0, -3, 0, 0, 0, 0, 0, 0, 0, -23, -4, -30
"c:\Users\rober\flutter_projects\untitled4\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, -54, 0, -6, -13, -73
"c:\Users\rober\flutter_projects\untitled4\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, -4, 0, 0, -4, -1, -9
"c:\Users\rober\flutter_projects\untitled4\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, -50, 0, 0, -9, -3, -62
"c:\Users\rober\flutter_projects\untitled4\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\rober\flutter_projects\untitled4\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\rober\flutter_projects\untitled4\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\rober\flutter_projects\untitled4\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\rober\flutter_projects\untitled4\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, -4, 0, 0, -4, -1, -9
"c:\Users\rober\flutter_projects\untitled4\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -5, -32
"c:\Users\rober\flutter_projects\untitled4\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\rober\flutter_projects\untitled4\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\rober\flutter_projects\untitled4\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -4, -12
"c:\Users\rober\flutter_projects\untitled4\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -1, -15
"c:\Users\rober\flutter_projects\untitled4\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, -122, 0, 0, 0, 0, -1, -123
"c:\Users\rober\flutter_projects\untitled4\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, -1, -24
"c:\Users\rober\flutter_projects\untitled4\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\rober\flutter_projects\untitled4\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -1, -38
"c:\Users\rober\flutter_projects\untitled4\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -1, -27
"c:\Users\rober\flutter_projects\untitled4\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\rober\flutter_projects\untitled4\pubspec.yaml", "YAML", 0, -30, 0, 0, 0, 0, 0, 0, 0, -58, -17, -105
"c:\Users\rober\flutter_projects\untitled4\test\widget_test.dart", "Dart", 0, 0, -14, 0, 0, 0, 0, 0, 0, -25, -14, -53
"Total", "-", -13, -33, -14, -1, -14, -145, -145, -89, -8, -163, -85, -710